Property,Property Description,LLC,Title,Purchase Date,Sell Date,Purchase Price,Sell Price, Units ,County
2708Mountain,2708 Mountain Lion Drive Fortworth TX 76248,PAG,LLC,3/2/15,6/6/16,"139,000.00","184,000.00",1,Tarrant
2615Dewitt,2615 Dewitt Drive Irving TX 75062,PAG,LLC,3/2/16,4/29/16,"82,500.00","94,000.00",1,Dallas
3113Willow,3113 Willow Park Street Richland Hills TX 76118,PAG,LLC,5/20/16,8/5/16,"69,000.00","93,500.00",1,Tarrant
1413Rockbrook,1413 Rockbrook Street Lancaster TX 75134,PAG,LLC,9/15/17,12/15/17,"85,000.00","143,000.00",1,Dallas
4445Cranwood,4445 Cranwood Drive Plano TX 75024,PAG,LLC,12/20/18,3/15/19,"230,000.00","315,000.00",1,Collin
2208Chase,2208 2210 Chase Court Dalworthington Gardens TX 76013,PAG,LLC,2/5/21,7/3/21,"325,000.00","365,000.00",2,Tarrant
